lat,lng,Title,City,State,Group,Ideology,Headquarters,Statewide,Year,UniqueID
35.20105,-91.8318334,South Africa Project,"",ARKANSAS,"",White Nationalist,"",Yes,2012,c5bd3a6f-52f6-44e9-9237-a64d2e69d738
35.20105,-91.8318334,Southern Kalvary Knights of the KKK,"",ARKANSAS,"",Ku Klux Klan,"",Yes,2012,78cad9be-db45-44fd-b9c7-a3abbb29a933
35.20105,-91.8318334,The Creativity Movement,"",ARKANSAS,"",Neo-Nazi,"",Yes,2013,6214a87e-563f-4d89-b598-0a757e9848a3
35.20105,-91.8318334,Aryan Terror Brigade,"",ARKANSAS,"",Racist Skinhead,"",Yes,2013,377cbb64-c9d7-4061-a108-87da6fa9649c
35.20105,-91.8318334,Loyal White Knights of the KKK,"",ARKANSAS,"",Ku Klux Klan,"",Yes,2013,759fbd5e-a366-40b1-9eb1-46a9851cb3b0
35.20105,-91.8318334,National Socialist Movement,"",ARKANSAS,National Socialist Movement,Neo-Nazi,"",Yes,2013,7965fb19-5c18-4ba0-a60f-cc356b08897d
35.20105,-91.8318334,New Black Panther Party,"",ARKANSAS,New Black Panther Party,Black Separatist,"",Yes,2013,917153e7-270b-44b7-80f5-9eed4bf2c159
35.20105,-91.8318334,The Creativity Alliance,"",ARKANSAS,"",Neo-Nazi,"",Yes,2013,f9858a1b-895f-4300-acf1-9bde54556b0f
35.20105,-91.8318334,Aryan Nations,"",ARKANSAS,"",Neo-Nazi,"",Yes,2014,b36c6c1a-186b-4f23-a9f4-bf5258d1db20
35.20105,-91.8318334,Aryan Terror Brigade,"",ARKANSAS,"",Racist Skinhead,"",Yes,2014,ab84cee0-cb23-426b-9b23-38559888ccbe
35.20105,-91.8318334,The Creativity Alliance,"",ARKANSAS,"",Neo-Nazi,"",Yes,2014,b3041cc0-9aca-4f46-9876-6d9ab41510a5
35.20105,-91.8318334,Southern National Congress,"",ARKANSAS,"",Neo-Confederate,"",Yes,2014,04ff191c-8729-44dd-9b42-f5c466004326
