lat,lng,Title,City,State,Group,Ideology,Headquarters,Statewide,Year
35.20105,-91.8318334,Aryan Terror Brigade,"",ARKANSAS,"",Racist Skinhead,"",Yes,2011
35.20105,-91.8318334,Blood and Honour America Division,"",ARKANSAS,Blood & Honour,Racist Skinhead,"",Yes,2011
35.20105,-91.8318334,Creativity Alliance,"",ARKANSAS,"",Neo-Nazi,"",Yes,2011
35.20105,-91.8318334,South Africa Project,"",ARKANSAS,"",White Nationalist,"",Yes,2011
35.20105,-91.8318334,True Invisible Empire Traditionalist American Knights of the KKK,"",ARKANSAS,"",Ku Klux Klan,"",Yes,2011
35.20105,-91.8318334,Aryan Terror Brigade,"",ARKANSAS,"",Racist Skinhead,"",Yes,2012
35.20105,-91.8318334,The Creativity Alliance,"",ARKANSAS,"",Neo-Nazi,"",Yes,2012
35.20105,-91.8318334,The Creativity Movement,"",ARKANSAS,"",Neo-Nazi,"",Yes,2012
35.20105,-91.8318334,New Black Panther Party,"",ARKANSAS,New Black Panther Party,Black Separatist,"",Yes,2012
35.20105,-91.8318334,South Africa Project,"",ARKANSAS,"",White Nationalist,"",Yes,2012
35.20105,-91.8318334,Southern Kalvary Knights of the KKK,"",ARKANSAS,"",Ku Klux Klan,"",Yes,2012
35.20105,-91.8318334,The Creativity Movement,"",ARKANSAS,"",Neo-Nazi,"",Yes,2013
35.20105,-91.8318334,Aryan Terror Brigade,"",ARKANSAS,"",Racist Skinhead,"",Yes,2013
35.20105,-91.8318334,Loyal White Knights of the KKK,"",ARKANSAS,"",Ku Klux Klan,"",Yes,2013
35.20105,-91.8318334,National Socialist Movement,"",ARKANSAS,National Socialist Movement,Neo-Nazi,"",Yes,2013
35.20105,-91.8318334,New Black Panther Party,"",ARKANSAS,New Black Panther Party,Black Separatist,"",Yes,2013
35.20105,-91.8318334,The Creativity Alliance,"",ARKANSAS,"",Neo-Nazi,"",Yes,2013
35.20105,-91.8318334,Aryan Nations,"",ARKANSAS,"",Neo-Nazi,"",Yes,2014
35.20105,-91.8318334,Aryan Terror Brigade,"",ARKANSAS,"",Racist Skinhead,"",Yes,2014
35.20105,-91.8318334,The Creativity Alliance,"",ARKANSAS,"",Neo-Nazi,"",Yes,2014
35.20105,-91.8318334,Southern National Congress,"",ARKANSAS,"",Neo-Confederate,"",Yes,2014
